power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,selected_target,max_gpu,max_gpu_target,target_1gpu,target_2gpu,target_3gpu,target_4gpu,improve_vs_max_gpu_pct,improve_vs_1gpu_pct,improve_vs_2gpu_pct,improve_vs_3gpu_pct,improve_vs_4gpu_pct
400,"[1, 2]","[1, 2]",1,1,27104.09,2,24801.11,27104.09,24801.11,,,9.285794063249586,0.0,9.285794063249586,nan,nan
500,"[1, 2]","[1, 2]",1,1,26941.61,2,25433.54,26941.61,25433.54,,,5.929453784254963,0.0,5.929453784254963,nan,nan
600,"[1, 3, 2]","[1, 3, 2]",1,1,27096.3,3,25926.31,27096.3,25435.89,25926.31,,4.512751718235252,0.0,6.527823480916138,4.512751718235252,nan
700,"[1, 3, 2]","[1, 3, 2]",1,1,27107.66,3,26355.15,27107.66,25589.13,26355.15,,2.8552673765848358,0.0,5.9342775623868365,2.8552673765848358,nan
800,"[3, 2, 4]","[3, 2, 4]",3,3,26240.25,4,26040.87,,26132.79,26240.25,26040.87,0.7656426225391126,nan,0.4112075289320395,0.0,0.7656426225391126
900,"[4, 3, 2]","[4, 3, 2]",4,4,25965.28,4,25965.28,,25577.95,25844.22,25965.28,0.0,nan,1.5143121321294244,0.46842195276157556,0.0
1000,"[3, 2, 4]","[3, 2, 4]",3,3,26600.82,4,26091.35,,26131.74,26600.82,26091.35,1.9526394763015376,nan,1.7950584232048767,0.0,1.9526394763015376
1200,"[4, 3, 2]","[4, 3, 2]",4,4,26708.88,4,26708.88,,26014.83,26160.32,26708.88,0.0,nan,2.6679013470393587,2.096916245672841,0.0
1400,"[4, 3, 2]","[4, 3, 2]",4,4,26264.37,4,26264.37,,25651.53,26167.32,26264.37,0.0,nan,2.3890972585261,0.37088245949527604,0.0
1600,"[4, 3]","[4, 3]",4,4,26433.22,4,26433.22,,,26133.0,26433.22,0.0,nan,nan,1.1488156736693114,0.0
1800,"[3, 4]","[3, 4]",3,3,26166.54,4,25455.04,,,26166.54,25455.04,2.7951242661571145,nan,nan,0.0,2.7951242661571145
